No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	Pin Count
1	1	470uF	C6	CAP-TH_BD8.0-P3.50-D0.6-FD	470uF	ERS1CM471F12OT	AISHI(艾华集团)	C160146	LCSC	2
2	4	1N4148	D1,D2,D3,D4	DO-41_BD2.4-L4.7-P8.70-D0.9-RD						2
3	4	B2B-ZR-3.4(LF)(SN)	M1,M2,M3,M4	CONN-TH_B2B-ZR-3.4-LF-SN		B2B-ZR-3.4(LF)(SN)	JST	C163033	LCSC	2
4	1	MPU6050	M5	footprint_590b						8
5	2	JST-PH-2.0-THM	POWER1,POWER2	JST-PH-2-THM						2
6	4	AO3400	Q1,Q2,Q3,Q4	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR		AO3400A	AOS	C20917	LCSC	3
7	4	10k	R1,R2,R3,R4	Resistor 1/8w 7mm metal film		1206W4F1002T5E	UNI-ROYAL(Uniroyal Elec)	C17902	LCSC	2
8	4	100	U1,U5,U7,U9	Resistor 1/8w 7mm metal film		1206W4F1002T5E	UNI-ROYAL(Uniroyal Elec)	C17902	LCSC	2
9	5	22uF	U3,U4,U6,U8,U12	CAP-TH_BD6.3-P2.50-D0.5-FD		22uF		C9900012263	LCSC	2
10	1	MP1584EN	U10	MP1584						8
11	1	XIAO_ESP32_S3_XIAO_ESP32_S3_THROUGH_HOLE	U11	XIAO_THROUGH_HOLE						14
